second,Volt
-36.9000E-06,-1.970E+00
-36.8000E-06,-2.032E+00
-36.7000E-06,-1.985E+00
-36.6000E-06,-1.970E+00
-36.5000E-06,-2.001E+00
-36.4000E-06,-2.001E+00
-36.3000E-06,-2.016E+00
-36.2000E-06,-2.001E+00
-36.1000E-06,-2.016E+00
-36.0000E-06,-2.001E+00
-35.9000E-06,-2.001E+00
-35.8000E-06,-1.985E+00
-35.7000E-06,-2.001E+00
-35.6000E-06,-2.001E+00
-35.5000E-06,-1.985E+00
-35.4000E-06,-2.048E+00
-35.3000E-06,-1.985E+00
-35.2000E-06,-2.016E+00
-35.1000E-06,-1.985E+00
-35.0000E-06,-2.001E+00
-34.9000E-06,-2.001E+00
-34.8000E-06,-1.985E+00
-34.7000E-06,-2.001E+00
-34.6000E-06,-1.985E+00
-34.5000E-06,-1.985E+00
-34.4000E-06,-2.016E+00
-34.3000E-06,-2.001E+00
-34.2000E-06,-1.985E+00
-34.1000E-06,-1.985E+00
-34.0000E-06,-1.985E+00
-33.9000E-06,-1.985E+00
-33.8000E-06,-2.001E+00
-33.7000E-06,-1.985E+00
-33.6000E-06,-1.985E+00
-33.5000E-06,-1.938E+00
-33.4000E-06,-1.985E+00
-33.3000E-06,-1.985E+00
-33.2000E-06,-2.001E+00
-33.1000E-06,-2.001E+00
-33.0000E-06,-1.985E+00
-32.9000E-06,-2.001E+00
-32.8000E-06,-2.016E+00
-32.7000E-06,-2.001E+00
-32.6000E-06,-2.016E+00
-32.5000E-06,-2.001E+00
-32.4000E-06,-2.001E+00
-32.3000E-06,-1.985E+00
-32.2000E-06,-2.001E+00
-32.1000E-06,-1.970E+00
-32.0000E-06,-2.048E+00
-31.9000E-06,-2.016E+00
-31.8000E-06,-2.016E+00
-31.7000E-06,-2.001E+00
-31.6000E-06,-2.016E+00
-31.5000E-06,-2.001E+00
-31.4000E-06,-2.032E+00
-31.3000E-06,-2.016E+00
-31.2000E-06,-1.985E+00
-31.1000E-06,-1.985E+00
-31.0000E-06,-2.001E+00
-30.9000E-06,-2.032E+00
-30.8000E-06,-2.001E+00
-30.7000E-06,-2.001E+00
-30.6000E-06,-1.985E+00
-30.5000E-06,-2.016E+00
-30.4000E-06,-2.001E+00
-30.3000E-06,-2.016E+00
-30.2000E-06,-1.970E+00
-30.1000E-06,-2.001E+00
-30.0000E-06,-2.001E+00
-29.9000E-06,-1.985E+00
-29.8000E-06,-2.001E+00
-29.7000E-06,-2.001E+00
-29.6000E-06,-2.001E+00
-29.5000E-06,-2.001E+00
-29.4000E-06,-2.016E+00
-29.3000E-06,-2.032E+00
-29.2000E-06,-2.016E+00
-29.1000E-06,-2.001E+00
-29.0000E-06,-1.954E+00
-28.9000E-06,-2.016E+00
-28.8000E-06,-1.985E+00
-28.7000E-06,-1.985E+00
-28.6000E-06,-2.001E+00
-28.5000E-06,-1.985E+00
-28.4000E-06,-1.970E+00
-28.3000E-06,-1.985E+00
-28.2000E-06,-1.985E+00
-28.1000E-06,-2.032E+00
-28.0000E-06,-2.001E+00
-27.9000E-06,-1.970E+00
-27.8000E-06,-2.001E+00
-27.7000E-06,-1.985E+00
-27.6000E-06,-1.985E+00
-27.5000E-06,-1.970E+00
-27.4000E-06,-2.001E+00
-27.3000E-06,-1.985E+00
-27.2000E-06,-1.985E+00
-27.1000E-06,-2.016E+00
-27.0000E-06,-2.001E+00
-26.9000E-06,-2.016E+00
-26.8000E-06,-1.985E+00
-26.7000E-06,-2.032E+00
-26.6000E-06,-2.001E+00
-26.5000E-06,-1.985E+00
-26.4000E-06,-1.970E+00
-26.3000E-06,-2.001E+00
-26.2000E-06,-1.985E+00
-26.1000E-06,-2.016E+00
-26.0000E-06,-1.985E+00
-25.9000E-06,-2.001E+00
-25.8000E-06,-2.001E+00
-25.7000E-06,-2.001E+00
-25.6000E-06,-2.001E+00
-25.5000E-06,-1.985E+00
-25.4000E-06,-2.016E+00
-25.3000E-06,-1.985E+00
-25.2000E-06,-1.985E+00
-25.1000E-06,-2.001E+00
-25.0000E-06,-2.001E+00
-24.9000E-06,-2.032E+00
-24.8000E-06,-1.985E+00
